o,c,h,l,t
21319.17030739254,21190.09465714575,21319.17030739254,21187.80725888689,1734634800000
21189.97444913258,21107.58336590915,21255.11585423555,21093.45483757721,1734638400000
21107.43195783636,21110.50639714828,21110.50639714828,21107.43195783636,1734642000000
20939.6426707303,20973.28082130733,21045.02349007785,20913.72026096649,1734703200000
20992.0288528755,21259.94712464041,21292.46902966736,20984.96848669083,1734706800000
21259.98226245182,21488.15583846703,21517.74988122824,21252.93330068331,1734710400000
21487.65329036313,21489.69615111512,21540.31729437757,21466.97403963179,1734714000000
21489.8136538418,21401.27988206769,21500.50367678849,21388.70668419774,1734717600000
21400.76768110544,21428.90236746958,21477.44387369968,21383.74789103876,1734721200000
21429.01592839895,21294.32730698907,21440.72803142001,21253.97605897922,1734724800000
21294.43299280105,21289.154369875,21294.43299280105,21289.154369875,1734728400000
21364.26142515289,21372.61455858588,21414.96649424657,21300.45696687707,1734962400000
21369.9764430137,21301.57254459116,21381.04786148666,21224.26847940311,1734966000000
21300.22472097075,21432.48980113611,21434.40293293665,21300.17053563803,1734969600000
21432.4049834902,21432.26750385973,21458.7935009836,21386.14954840938,1734973200000
21432.28624396698,21483.68866822167,21487.82464600692,21426.0427971493,1734976800000
21482.8879161102,21450.03994900651,21509.78694199205,21448.55423637826,1734980400000
21447.60285698477,21496.21809873491,21510.09051919462,21408.94307090202,1734984000000
21504.86623562542,21503.17067761147,21504.86623562542,21503.17067761147,1734987600000
21564.36913510061,21649.85740385177,21650.91962578937,21558.96627500672,1735048800000
21649.32264186222,21706.49905712191,21712.21420280294,21646.01814098661,1735052400000
21705.85149274543,21714.10925504931,21744.4456078733,21699.1710742461,1735056000000
21714.73836414745,21794.15163905739,21794.15163905739,21694.12759787261,1735059600000
21797.08071473468,21797.65086123049,21797.65086123049,21797.08071473468,1735063200000
21733.98269489339,21720.8811184036,21766.40011984478,21645.6170715224,1735221600000
21721.18262274932,21774.80687710391,21776.11332040427,21698.86790397146,1735225200000
21774.62047318865,21804.76772208089,21806.87911321627,21747.31455159712,1735228800000
21805.27515526577,21771.3788491379,21837.69573118393,21749.33421178394,1735232400000
21771.11214806238,21781.24275117197,21803.885026463,21767.42600501391,1735236000000
21781.18932210032,21809.56907522978,21810.75998692816,21762.97833057567,1735239600000
21809.61269416344,21768.87974611026,21821.88198425013,21764.84621698994,1735243200000
21766.90770914703,21768.31180255236,21768.31180255236,21766.90770914703,1735246800000
21633.09593037205,21484.20923379364,21642.26395772373,21471.16341271625,1735308000000
21488.14009778283,21388.32151598605,21492.60449896612,21301.68044918761,1735311600000
21388.28139084802,21340.41010938463,21433.92720089737,21318.79213127738,1735315200000
21340.1654984052,21359.33388254181,21362.86009946716,21292.19414212959,1735318800000
21358.74189356507,21449.20294396675,21456.05100934566,21347.76499633262,1735322400000
21448.98676751424,21480.08290982155,21490.68553482368,21418.2281780464,1735326000000
21480.55720134125,21476.25984792662,21491.39829111652,21389.90143418434,1735329600000
21477.39644395158,21473.01468036854,21477.39644395158,21473.01468036854,1735333200000
21189.10308279143,21074.19234680845,21194.65811748613,21072.10624315193,1735567200000
21073.60832100676,21157.45409470408,21183.02390074487,21046.63174532058,1735570800000
21157.75503618313,21245.11302429098,21251.61236965737,21132.11228820141,1735574400000
21245.10788099874,21333.84848328629,21345.09893541369,21236.71103560095,1735578000000
21333.41338818151,21323.4667966652,21346.06174513433,21278.41344207646,1735581600000
21323.3215317433,21310.97340820578,21327.42203815499,21262.1163361048,1735585200000
21310.88422783862,21196.80294244693,21321.39234550118,21191.67417437296,1735588800000
21195.60470324843,21197.08918249414,21197.08918249414,21195.60470324843,1735592400000
21256.02331361617,21224.56672079115,21276.14101147907,21166.96555903716,1735653600000
21223.6600924988,21177.51980291945,21259.71483036855,21136.58513274955,1735657200000
21177.39528787146,21124.32043158577,21178.87614069394,21086.7820061683,1735660800000
21124.15459626533,21105.21268857607,21135.98232015729,21006.81417843838,1735664400000
21104.19142231446,21016.56349109585,21124.02852851172,21004.1825779514,1735668000000
21016.71827038635,21058.24224064609,21064.40442675592,20979.51896544875,1735671600000
21057.78337813526,21017.26983894024,21104.09693140343,20984.84930698732,1735675200000
21012.35766873469,21012.17370392947,21012.35766873469,21012.17370392947,1735678800000
21120.05387978618,21190.07323613144,21199.20855830872,20977.13701712927,1735826400000
21190.11896773365,21078.455896269,21236.59380768051,21019.77271380399,1735830000000
21078.61905187186,21116.99884665052,21152.51629127366,20999.15078997761,1735833600000
21117.2652638299,20882.53987324043,21134.34078468881,20800.50003060966,1735837200000
20882.36253076504,20853.09251856293,20889.3095961136,20801.03150735223,1735840800000
20852.97033543088,20871.73926832487,20944.203643615,20838.26284184654,1735844400000
20871.75573892378,20976.13389160802,20993.27925530964,20871.75573892378,1735848000000
20976.02259029354,20975.62400926645,20976.02259029354,20975.62400926645,1735851600000
21096.78719047677,21187.51120848602,21231.37325672138,21096.56993367077,1735912800000
21188.84025206843,21180.79701432383,21232.08882442383,21075.89059633771,1735916400000
21181.85621776126,21264.73740011214,21287.42647552506,21147.42108183013,1735920000000
21265.60248828511,21270.77627342682,21283.67709583693,21248.34622829284,1735923600000
21270.81173568152,21313.28417192803,21330.73253143318,21255.47486672875,1735927200000
21310.12873795607,21340.15898144483,21359.63178476994,21302.77146634827,1735930800000
21335.97829482484,21323.23346940144,21335.97829482484,21285.62192426427,1735934400000
21324.84359802585,21326.1572303898,21326.1572303898,21324.84359802585,1735938000000
21551.17556720387,21624.13497298083,21652.86707627937,21540.41559955226,1736172000000
21626.47708127914,21677.24081235664,21695.6307454952,21591.29677766446,1736175600000
21677.9843159356,21661.32897379099,21703.49133105004,21650.95858170193,1736179200000
21661.87460756739,21602.91147194602,21673.48756646137,21581.5985258858,1736182800000
21603.01147744376,21515.09878783771,21603.01147744376,21514.62062293642,1736186400000
21515.76454203882,21474.13258633773,21531.29333550384,21472.22098191283,1736190000000
21473.5488376218,21562.0143916761,21564.36886789623,21462.52196890142,1736193600000
21562.68158838309,21559.50032830485,21562.68158838309,21559.50032830485,1736197200000
21619.88674615152,21524.51214999277,21621.25266191599,21514.26792963616,1736258400000
21504.59095004466,21366.36315231536,21510.83962677105,21219.81014570979,1736262000000
21368.77307501799,21256.09365968502,21385.72336686205,21251.31409774272,1736265600000
21255.88951749921,21262.00066583156,21289.72885376579,21210.2689981339,1736269200000
21262.08277882929,21257.89535424993,21335.16465012752,21251.27570127287,1736272800000
21258.06854477041,21235.78328710317,21291.09184399551,21224.80850565594,1736276400000
21235.50193729386,21174.90762346358,21238.73379255428,21101.09201258162,1736280000000
21172.8181230986,21173.04309505602,21173.04309505602,21172.8181230986,1736283600000
21156.7552860266,21155.87388237429,21191.74744446574,21106.59840537182,1736344800000
21156.29264812077,21170.49432985835,21215.76930003621,21052.32547463428,1736348400000
21171.22464099943,21199.89609841028,21230.85816889277,21106.30636044973,1736352000000
21200.11268420828,21087.77306763436,21202.18145713265,20992.08398849962,1736355600000
21087.36120253931,21140.86032875505,21214.40191252876,21085.45545941122,1736359200000
21140.93439661844,21156.66022948891,21242.60986297257,21108.19325445575,1736362800000
21156.74956236667,21178.29077463978,21194.5748781946,21123.85479583277,1736366400000
21181.10479058092,21180.96479911161,21181.10479058092,21180.96479911161,1736370000000
21012.29006071754,20889.55080812487,21015.50621090816,20849.67441852629,1736517600000
20868.1931002761,20828.59558069346,20956.37660102481,20718.78247916235,1736521200000
