symbol,marketFamily,timeframe,entryMode,setupClass,direction,regime,volState,auditGoodOpportunity,netR,grossR,mfeR,maeR,riskAtr,tp2R,exitType
BTC-USD,CRYPTO_SPOT,1h,trigger_close,PULLBACK,SHORT,TREND_DOWN,COMPRESSION,False,-1.4185326893618706,-1.0,0.8885674182475806,1.1815657208479544,1.023880625473118,1.210680666880957,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,PULLBACK,SHORT,TREND_DOWN,COMPRESSION,False,-1.4085436514256398,-1.0,0.8436007873643016,1.1772426563539147,1.048853744637388,1.1580445467255658,STOP
BTC-USD,CRYPTO_SPOT,1h,structure_confirmed_retest,PULLBACK,SHORT,TREND_DOWN,COMPRESSION,False,-1.4102054216297544,-1.0,0.851081408406917,1.1779618387028576,1.0446150994016212,1.1668010592839144,STOP
BTC-USD,CRYPTO_SPOT,1h,trigger_close,PULLBACK,SHORT,TREND_DOWN,COMPRESSION,False,-1.4156203550582103,-1.0,0.8623435983123326,1.1935495719064728,1.090480638924127,1.182241104127677,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,PULLBACK,SHORT,TREND_DOWN,COMPRESSION,False,-1.4302501258487872,-1.0,0.9277404509764352,1.2003461334263976,1.0534870687364726,1.2588712705983072,STOP
BTC-USD,CRYPTO_SPOT,1h,trigger_close,SWEEP_RECLAIM,SHORT,RANGE,COMPRESSION,True,0.7196821176213353,1.120092814773338,1.7317672951675744,0.34281040477024854,1.2191038368969682,1.120092814773338,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,PULLBACK,SHORT,TREND_DOWN,COMPRESSION,True,0.2938154847067391,0.6004160313804412,1.082839017231359,0.3604124888027513,1.7047037539992071,0.6004160313804412,TP2
BTC-USD,CRYPTO_SPOT,1h,retest_limit,PULLBACK,SHORT,TREND_DOWN,COMPRESSION,True,0.29512642937647254,0.6185355162027562,0.6281378905465633,0.3256062538379679,1.6167220374653342,0.6185355162027562,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,PULLBACK,LONG,TREND_UP,COMPRESSION,False,-1.2829392263796056,-1.0,0.08722072025258505,1.2444404202341734,1.9823067000345336,0.5049671074690574,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,PULLBACK,LONG,TREND_UP,COMPRESSION,False,-1.34234264756103,-1.0,0.3162935995098278,1.2959429990820854,1.6373284189603623,0.36951135065493634,STOP
BTC-USD,CRYPTO_SPOT,1h,trigger_close,BREAKOUT,SHORT,TREND_DOWN,COMPRESSION,False,-1.2215474153035444,-1.0,0.053892686404677245,1.2323442598923386,2.9175694157513195,0.2667187695749109,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,BREAKOUT,SHORT,TREND_DOWN,COMPRESSION,False,-1.2645869545475559,-1.0,0.054675089963237944,1.277278459097113,2.44476440324506,0.381356287677868,STOP
BTC-USD,CRYPTO_SPOT,1h,trigger_close,BREAKOUT,LONG,TREND_UP,COMPRESSION,False,0.04989027296286469,0.1866434586264671,0.539210297422267,0.9153369654063253,4.3300606352355215,0.1866434586264671,TP2
BTC-USD,CRYPTO_SPOT,1h,retest_limit,BREAKOUT,LONG,TREND_UP,COMPRESSION,False,0.15051073489352346,0.3002619933354747,0.6865863414486333,0.9072306636653747,3.9516944697256124,0.3002619933354747,TP2
BTC-USD,CRYPTO_SPOT,1h,structure_confirmed_retest,BREAKOUT,LONG,TREND_UP,COMPRESSION,False,0.07498671476743599,0.21498183920566075,0.5759683706941279,0.9133151169076347,4.229065787203461,0.21498183920566075,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,PULLBACK,LONG,TREND_UP,COMPRESSION,False,-1.245588302546437,-1.0,0.0,1.1219671383228942,2.500561640560359,0.37953588195721116,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,PULLBACK,LONG,TREND_UP,COMPRESSION,False,-1.262226977061108,-1.0,0.06802727007565014,1.1302642297819399,2.341290068729462,0.427114953997419,STOP
BTC-USD,CRYPTO_SPOT,1h,trigger_close,BREAKOUT,LONG,TREND_UP,NORMAL,False,-1.11739201518956,-1.0,0.0007911239215314042,1.241394770907548,3.82682299485277,0.3751480514775973,STOP
BTC-USD,CRYPTO_SPOT,1h,trigger_close,PULLBACK,LONG,TREND_UP,NORMAL,False,-1.11739201518956,-1.0,0.0007911239215314042,1.241394770907548,3.82682299485277,0.3751480514775973,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,PULLBACK,LONG,TREND_UP,NORMAL,False,0.18592646121274226,0.39631860926000606,0.7884420986717501,0.4944634905642441,2.141445053721246,0.39631860926000606,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,PULLBACK,LONG,TREND_UP,NORMAL,False,-1.2262583105403588,-1.0,0.0,1.4478574990771182,1.7139866908794508,0.5318700464289147,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,PULLBACK,LONG,TREND_UP,NORMAL,False,-1.2318992789187062,-1.0,0.025042220927678733,1.4590728455131252,1.672113261176956,0.5702314745640811,STOP
BTC-USD,CRYPTO_SPOT,1h,trigger_close,PULLBACK,SHORT,TREND_DOWN,NORMAL,True,0.04989084957900687,0.154086704068166,0.46309160875258926,0.07896618780154409,3.7322947268276296,0.154086704068166,TP2
