candidateId,signalUtc,symbol,marketFamily,timeframe,direction,setupClass,entryMode,auditGoodOpportunity,planValid,entered,netR,stressNetR,grossR,mfeR,maeR,reason
BTC-USD|1h|2025-01-08T05:00:00+00:00|LONG|SWEEP_RECLAIM|1636,2025-01-08T05:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,SWEEP_RECLAIM,trigger_close,False,True,True,-1.3791970679583097,-1.5687956019374645,-1.0,0.23243991440549241,2.3495843682397966,CLOSED
BTC-USD|1h|2025-01-08T05:00:00+00:00|LONG|SWEEP_RECLAIM|1636,2025-01-08T05:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,SWEEP_RECLAIM,retest_limit,False,True,True,-2.2335677327751533,-2.85035159916273,-1.0,3.0165982229344923,5.398379273351436,CLOSED
BTC-USD|1h|2025-01-08T05:00:00+00:00|LONG|SWEEP_RECLAIM|1636,2025-01-08T05:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,SWEEP_RECLAIM,structure_confirmed_retest,False,True,False,0.0,0.0,0.0,0.0,0.0,NO_ENTRY
BTC-USD|1h|2025-01-08T06:00:00+00:00|SHORT|BREAKOUT|1637,2025-01-08T06:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,SHORT,BREAKOUT,trigger_close,False,True,True,0.48997630292085476,0.44579628261583537,0.5783363435308936,1.1398281802007901,0.3820178005125378,CLOSED
BTC-USD|1h|2025-01-08T06:00:00+00:00|SHORT|BREAKOUT|1637,2025-01-08T06:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,SHORT,BREAKOUT,retest_limit,False,True,False,0.0,0.0,0.0,0.0,0.0,NO_ENTRY
BTC-USD|1h|2025-01-08T06:00:00+00:00|SHORT|BREAKOUT|1637,2025-01-08T06:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,SHORT,BREAKOUT,structure_confirmed_retest,False,True,False,0.0,0.0,0.0,0.0,0.0,NO_ENTRY
BTC-USD|1h|2025-01-08T07:00:00+00:00|LONG|SWEEP_RECLAIM|1638,2025-01-08T07:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,SWEEP_RECLAIM,trigger_close,False,True,True,-1.3552832610205054,-1.5329248915307583,-1.0,0.8145815682183621,1.8855814997232674,CLOSED
BTC-USD|1h|2025-01-08T07:00:00+00:00|LONG|SWEEP_RECLAIM|1638,2025-01-08T07:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,SWEEP_RECLAIM,retest_limit,False,True,True,-2.101874493660679,-2.652811740491018,-1.0,4.156420382806806,3.7517926822026446,CLOSED
BTC-USD|1h|2025-01-08T07:00:00+00:00|LONG|SWEEP_RECLAIM|1638,2025-01-08T07:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,SWEEP_RECLAIM,structure_confirmed_retest,False,True,False,0.0,0.0,0.0,0.0,0.0,NO_ENTRY
BTC-USD|1h|2025-01-08T11:00:00+00:00|SHORT|BREAKOUT|1642,2025-01-08T11:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,SHORT,BREAKOUT,trigger_close,False,True,True,0.4898106754075595,0.44653613472331055,0.5763597567760574,1.0438981896571877,0.3610222013945664,CLOSED
